"id","repetition","yc","zc","s1","Tu","E0","E1","A0","A1","Tf","Tc","Tb","slope","timestamp"
"Almond.Abiodh de Sfax.Sfax",1,12.9059143823086,203.772564882457,0.102977956947848,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:20:45.47723"
"Almond.Abiodh de Sfax.Sfax",2,12.942350814266,203.432008352413,0.102216375307491,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:21:27.23595"
"Almond.Abiodh de Sfax.Sfax",3,13.2505760204917,198.644304513936,0.103148201550716,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:22:08.20245"
"Almond.Abiodh de Sfax.Sfax",4,13.0270216431795,202.654589770104,0.10056987834164,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:22:47.972294"
"Almond.Abiodh de Sfax.Sfax",5,13.0210691298052,203.107787996051,0.100348197423195,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:23:28.271628"
"Almond.Abiodh de Sfax.Sfax",6,13.0385208942733,202.551672704813,0.100331330678189,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:24:08.849609"
"Almond.Abiodh de Sfax.Sfax",7,12.5169746916455,207.619478328762,0.112119912837572,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:24:48.693092"
"Almond.Abiodh de Sfax.Sfax",8,12.6528924616039,206.229843014485,0.108840558108876,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:25:28.151455"
"Almond.Abiodh de Sfax.Sfax",9,13.0390431738626,202.545620725215,0.100334787121196,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:26:16.48394"
"Almond.Abiodh de Sfax.Sfax",10,12.8833203564915,204.337067925077,0.103408720517245,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:26:55.963225"
"Almond.Abiodh Ras Djebel.Sfax",1,20.4417795678963,280.640338386853,1.08084209421526,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:11:38.15576"
"Almond.Abiodh Ras Djebel.Sfax",2,22.0183705920413,225.188272712746,0.131611889328503,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:12:22.440999"
"Almond.Abiodh Ras Djebel.Sfax",3,20.4595552407995,280.754174639319,1.15625671120101,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:12:58.991292"
"Almond.Abiodh Ras Djebel.Sfax",4,20.4539396385209,280.873269761746,1.17053303359962,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:13:34.667542"
"Almond.Abiodh Ras Djebel.Sfax",5,20.4414049972582,280.65438684298,1.08139110030132,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:14:09.686827"
"Almond.Abiodh Ras Djebel.Sfax",6,19.6084506646869,278.337943034926,0.513629309209187,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:14:45.903606"
"Almond.Abiodh Ras Djebel.Sfax",7,20.4603937489776,280.797567062212,1.1662051930442,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:15:21.428126"
"Almond.Abiodh Ras Djebel.Sfax",8,20.4964494805052,280.003198074662,1.08183245945983,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:15:57.345483"
"Almond.Abiodh Ras Djebel.Sfax",9,20.6241489534422,237.283843196899,0.165157238304983,25,4153.5,12888.8,139500,2.567e+18,4,36,4,1.6,"2026-05-11 13:20:42.257958"
