Species,CP_mean,CP_std,GDH_mean,GDH_std,CH_mean,CH_std,CU_mean,CU_std
Almond,20.123124999999998,13.016547267573971,7282.462121212121,1398.0866281916476,147.78021978021977,138.3136373285811,242.1559633027523,291.10731043888546
Apple,58.461842105263166,15.576297952168765,8666.597014925374,2819.3622858332405,972.6323529411765,200.83620777375071,1088.6842105263158,348.585256953842
Apricot,50.937777777777775,11.337313472233038,4036.7272727272725,1519.8870929577645,827.1954022988506,307.1957878481386,996.4803921568628,241.5835845511801
Japanese Plum,40.354615384615386,9.240576801011105,6494.507692307692,1465.2601477966818,462.78472222222223,136.422082863734,686.1769230769231,179.47461151339658
Japanese apricot,60.06,13.332028089265828,1393.76,394.02047004034046,670.375,374.7604711202686,964.0,364.15381365571335
Pear,47.45625,1.2209115447074794,7037.8125,323.15346586413085,752.0,11.593101396951571,1100.875,49.94780609129225
Sour Cherry,,,6130.0,,,,954.0,
Sweet Cherry,51.42758620689655,12.722920990262365,8758.361538461539,2782.007859313495,782.670731707317,226.7261187133879,844.0447916666667,325.4272155247111
