Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference,CP_mean,CP_std,GDH_mean,GDH_std,CH_mean,CH_std,CU_mean,CU_std,CP_standardized,GDH_standardized
Sweet Cherry,Burlat,,Imouzzar-Kandar,E,383.0,369.0,32.4,9932.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.5,0.42
Sweet Cherry,Lapins,,Zaragoza,E,748.0,1121.0,52.8,9102.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.11,0.12
Sweet Cherry,Lapins,,Imouzzar-Kandar,E,407.0,553.0,32.6,12521.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.48,1.35
Sweet Cherry,Lapins,,Imouzzar-Kandar,E,251.0,200.0,23.8,9832.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-2.17,0.39
Sweet Cherry,Napoleon,,Zaragoza,E,1048.0,1202.0,51.3,7925.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.01,-0.3
Sweet Cherry,Napoleon,,Zaragoza,E,880.0,1102.0,53.1,9102.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.13,0.12
Sweet Cherry,Napoleon,,Azrou,E,432.0,590.0,34.6,14300.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.32,1.99
Sweet Cherry,Napoleon,,Azrou,E,505.0,512.0,40.3,10948.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.87,0.79
Sweet Cherry,Van,,Zaragoza,E,995.0,1136.0,47.7,8834.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.29,0.03
Sweet Cherry,Van,,Zaragoza,E,795.0,1003.0,48.8,8969.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.21,0.08
Sweet Cherry,Van,,Azrou,E,432.0,590.0,34.6,14300.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.32,1.99
Sweet Cherry,Van,,Azrou,E,505.0,513.0,40.3,12981.0,"Delgado et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.87,1.52
Sweet Cherry,Van,,Spain,E,672.0,1007.0,51.5,8359.0,"Santolaria et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.01,-0.14
Sweet Cherry,Bing,,Spain,E,708.0,1036.0,52.5,8572.0,"Santolaria et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.08,-0.07
Sweet Cherry,Sunburst,,Spain,E,866.0,1234.0,60.9,8535.0,"Santolaria et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.74,-0.08
Sweet Cherry,Chinook,,Spain,S,833.0,784.0,55.1,5663.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.29,-1.11
Sweet Cherry,Sandom Rose,,Spain,S,779.0,895.0,51.6,4994.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.01,-1.35
Sweet Cherry,Rainier,,Spain,S,950.0,1067.0,61.3,5774.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.78,-1.07
Sweet Cherry,Lapins,,Spain,S,938.0,1084.0,60.4,5653.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.71,-1.12
Sweet Cherry,Corum,,Spain,S,833.0,784.0,55.1,5809.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.29,-1.06
Sweet Cherry,Bing,,Spain,S,939.0,1053.0,60.6,5967.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.72,-1.0
Sweet Cherry,Vega,,Spain,S,819.0,769.0,54.3,6187.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.23,-0.92
Sweet Cherry,Early Van Compact,,Spain,S,781.0,728.0,52.2,6143.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.06,-0.94
Sweet Cherry,Santina,,Spain,S,917.0,1150.0,57.0,5664.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.44,-1.11
Sweet Cherry,Van,,Spain,S,982.0,1141.0,63.2,6338.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.93,-0.87
Sweet Cherry,Sue,,Spain,S,952.0,918.0,61.6,6646.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.8,-0.76
Sweet Cherry,Compact Stella,,Spain,S,985.0,961.0,63.8,6563.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.97,-0.79
Sweet Cherry,Vic,,Spain,S,941.0,904.0,60.9,6843.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.74,-0.69
Sweet Cherry,Sunburst,,Spain,S,816.0,949.0,54.0,6364.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.2,-0.86
Sweet Cherry,Summit,,Spain,S,952.0,918.0,61.6,6986.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.8,-0.64
Sweet Cherry,Lambert,,Spain,S,876.0,831.0,57.1,7315.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.45,-0.52
Sweet Cherry,Sam,,Spain,S,1008.0,1045.0,65.2,7266.0,"Fadón et al., 2021",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,1.08,-0.54
Pear,Conference,,Zaragoza,S,745.0,1113.0,46.5,7347.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,-0.78,0.96
Pear,El Dorado,,Zaragoza,S,753.0,1163.0,47.5,7094.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,0.04,0.17
Pear,Grand Champion,,Zaragoza,S,745.0,1028.0,46.5,7168.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,-0.78,0.4
Pear,Highland,,Zaragoza,S,745.0,1113.0,46.5,7402.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,-0.78,1.13
Pear,Magness,,Zaragoza,S,719.0,1113.0,43.9,7509.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,-2.91,1.46
Pear,Pierre Corneille,,Zaragoza,S,753.0,1099.0,47.5,6519.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,0.04,-1.61
Pear,Rogue Red,,Zaragoza,S,760.0,1028.0,48.5,7170.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,0.85,0.41
Pear,Sirrine,,Zaragoza,S,757.0,1163.0,48.0,7075.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,0.45,0.12
Pear,Star,,Zaragoza,S,757.0,1100.0,48.0,6573.0,"Fadón et al., 2024",47.46,1.22,7037.81,323.15,752.0,11.59,1100.88,49.95,0.45,-1.44
