Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference,CP_mean,CP_std,GDH_mean,GDH_std,CH_mean,CH_std,CU_mean,CU_std,CP_standardized,GDH_standardized
Apple,Fuji Chofu 2,Dessert,Spain,S,,,50.3,7471.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.52,-0.42
Apple,Fuji Zhen,Dessert,Spain,S,,,54.4,8190.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.26,-0.17
Apple,Gala,Dessert,Morocco,S,537.0,842.0,44.3,22402.0,"El Yaacoubi et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.91,4.87
Apple,Gala,Dessert,France,E,,,58.3,8887.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.01,0.08
Apple,Gala,Dessert,Morocco,E,,,61.2,5894.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.18,-0.98
Apple,Gala,Dessert,Brazil,E,,,25.6,7211.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-2.11,-0.52
Apple,Galaxy,Dessert,Australia,E,893.0,1300.0,76.7,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.17,
Apple,Gold Rush,Dessert,Italy,E,1014.0,,54.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.29,
Apple,Golden Delicious,Dessert,Italy,E,1025.0,,52.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.41,
Apple,Golden Delicious,Dessert,Non-specified,E,1200.0,,50.0,,"Erez, 2000",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.54,
Apple,Golden Delicious,Dessert,Belgium,S,,,59.8,4980.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.09,-1.31
Apple,Golden Delicious,Dessert,France,E,,,57.4,9964.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.07,0.46
Apple,Golden Delicious,Dessert,Morocco,E,,,64.2,6865.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.37,-0.64
Apple,Golden Reinders,Dessert,Spain,S,,,68.4,10273.0,"Funes et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.64,0.57
Apple,Golden Reinders,Dessert,Spain,S,,,42.4,9239.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-1.03,0.2
Apple,Golden Smoothee,Dessert,Spain,S,,,65.0,10145.0,"Funes et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.42,0.52
Apple,Golden Smoothee,Dessert,Spain,S,,,42.8,9690.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-1.01,0.36
Apple,Granny Smith,Dessert,Spain,S,,,63.9,8930.0,"Funes et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.35,0.09
Apple,Granny Smith,Dessert,Spain,S,,,45.6,8813.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.83,0.05
Apple,Granny Smith,Dessert,Australia,E,852.0,1239.0,72.2,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.88,
Apple,Granny Smith,Dessert,Spain,E,614.0,1006.0,59.3,13174.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.05,1.6
Apple,Granny Smith,Dessert,France,E,,,43.5,10891.0,"El Yaacoubi et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.96,0.79
Apple,Hana,Dessert,Italy,E,847.0,,43.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.99,
Apple,Hi Early,Dessert,Australia,E,908.0,1307.0,77.0,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.19,
Apple,Jeromine,Dessert,Spain,S,,,43.0,8349.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.99,-0.11
Apple,Jonagold,Dessert,Belgium,S,,,60.7,4644.0,"Drepper et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.14,-1.43
Apple,Julia,Dessert,Italy,E,775.0,,41.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-1.12,
Apple,Kalei,Dessert,Australia,E,883.0,1275.0,75.5,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.09,
Apple,Limón Montés,Cider,Spain,E,904.0,1296.0,84.0,11249.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.64,0.92
Apple,Manchurian,Dessert,Australia,E,724.0,1031.0,61.0,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.16,
Apple,Melodie,Dessert,Italy,E,1103.0,,58.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.03,
Apple,Perezosa,Cider,Spain,S,826.0,1267.0,64.4,7326.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.38,-0.48
Apple,Perico,Cider,Spain,E,891.0,1273.0,82.5,11375.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.54,0.96
Apple,Perico,Cider,Spain,S,1005.0,1495.0,72.7,10156.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.91,0.53
Apple,Pink Lady,Dessert,Spain,S,,,37.8,8065.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-1.33,-0.21
Apple,Raxao,Cider,Spain,S,1005.0,1495.0,72.7,11111.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.91,0.87
Apple,Red Chief,Dessert,Spain,S,,,66.4,9076.0,"Funes et al., 2016",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.51,0.15
Apple,Red Chief,Dessert,Spain,S,,,40.2,7767.0,"Díez-Palet et al., 2019",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-1.17,-0.32
Apple,Regona,Cider,Spain,E,982.0,1351.0,90.2,6512.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,2.04,-0.76
Apple,RS103-110,Dessert,Australia,E,838.0,1186.0,70.8,,"Parkes et al., 2020",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.79,
Apple,Rubinola,Dessert,Italy,E,898.0,,47.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.74,
Apple,Solarina,Cider,Spain,E,921.0,1311.0,85.2,7897.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.72,-0.27
Apple,Teorica,Cider,Spain,S,833.0,1266.0,61.7,8646.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.21,-0.01
Apple,Topaz,Dessert,Italy,E,1006.0,,52.0,,"Finetto, 2013",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,-0.41,
Apple,Verdialona,Cider,Spain,S,789.0,1213.0,59.4,11917.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.06,1.15
Apple,Xuanina,Cider,Spain,E,855.0,1239.0,79.9,9690.0,"Delgado et al., 2021a",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,1.38,0.36
Apple,Xuanina,Cider,Spain,S,836.0,1278.0,62.6,9570.0,"Delgado et al., 2021b",58.46,15.58,8666.6,2819.36,972.63,200.84,1088.68,348.59,0.27,0.32
Sweet Cherry,Schneiders,,Germany,S,1375.0,1410.0,68.6,3473.0,Luedeling et al. 2013,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,1.35,-1.9
Sweet Cherry,Cristobalina,,Spain,E,176.0,397.0,30.4,9195.0,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.65,0.16
Sweet Cherry,Brooks,,Spain,E,411.5,556.0,36.7,7836.2,Albuquerque et al. 2009,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.16,-0.33
Sweet Cherry,Ruby,,Spain,E,618.0,806.0,48.0,7362.0,Albuquerque et al. 2010,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.5
Sweet Cherry,Somerset,,Spain,E,618.0,806.0,48.0,8625.2,Albuquerque et al. 2011,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.05
Sweet Cherry,Burlat,,Spain,E,618.0,806.0,48.0,8750.2,Albuquerque et al. 2012,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.0
Sweet Cherry,New Star,,Spain,E,709.5,909.3,63.5,8257.0,Albuquerque et al. 2013,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.95,-0.18
Sweet Cherry,Marvin,,Spain,E,788.0,1001.0,57.6,9449.7,Albuquerque et al. 2014,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.49,0.25
Sweet Cherry,Cristobalina,,Spain,S,395.0,570.0,26.1,5473.0,"Fadón et al., 2023",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.99,-1.18
Sweet Cherry,Ramón Oliva,,Spain,S,672.0,949.0,46.5,6872.0,"Fadón et al., 2024",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.39,-0.68
Sweet Cherry,Pico Negro,,Spain,S,788.0,1086.0,53.6,7140.0,"Fadón et al., 2025",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.17,-0.58
Sweet Cherry,Ambrunes,,Spain,S,788.0,1086.0,53.6,7004.0,"Fadón et al., 2026",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.17,-0.63
Sweet Cherry,Pico Colorado,,Spain,S,672.0,949.0,46.5,7365.0,"Fadón et al., 2027",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.39,-0.5
Sweet Cherry,Taleguera Brillante,,Spain,S,881.0,1211.0,58.8,8030.0,"Fadón et al., 2028",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.58,-0.26
Sweet Cherry,Blanca de Provenza,,Spain,S,910.0,1250.0,60.2,6457.0,"Fadón et al., 2029",51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.69,-0.83
Sweet Cherry,Brooks,,Spain,E,411.5,556.0,36.7,7863.2,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.16,-0.32
Sweet Cherry,Burlat,,Spain,E,618.0,806.0,48.0,8750.2,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.0
Sweet Cherry,Burlat,,Spain,E,,,86.0,,Campoy et al. 2019,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,2.72,
Sweet Cherry,Cristobalina,,Spain,E,176.0,397.0,30.4,9195.0,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.65,0.16
Sweet Cherry,Cristobalina,,Spain,E,,,29.0,,Campoy et al. 2019,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-1.76,
Sweet Cherry,Fertard,,Spain,E,,,101.0,,Campoy et al. 2019,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,3.9,
Sweet Cherry,Marvin,,Spain,E,788.0,1002.0,57.6,9450.0,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.49,0.25
Sweet Cherry,New Star,,Spain,E,709.0,909.0,53.5,8257.0,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,0.16,-0.18
Sweet Cherry,Regina,,Spain,E,,,86.0,,Campoy et al. 2019,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,2.72,
Sweet Cherry,Ruby,,Spain,E,618.0,806.0,48.0,7326.0,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.51
Sweet Cherry,Somerset,,Spain,E,618.0,806.0,48.0,8625.2,Albuquerque et al. 2008,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.27,-0.05
Sweet Cherry,Schneiders,,Germany,S,698.0,794.0,45.7,3473.0,Luedeling et al. 2013,51.43,12.72,8758.36,2782.01,782.67,226.73,844.04,325.43,-0.45,-1.9
Japanese Plum,Angeleno,,Spain,E,440.5,764.5,44.9,7740.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,0.49,0.85
Japanese Plum,Black Diamond,,Spain,E,410.5,690.0,42.9,7531.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,0.28,0.71
Japanese Plum,Black Splendor,,Spain,E,268.5,521.0,30.15,6224.5,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,-1.1,-0.18
Japanese Plum,Fortune,,Spain,E,441.5,759.5,43.2,7593.5,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,0.31,0.75
Japanese Plum,Golden Globe,,Spain,E,579.0,962.5,54.15,8225.5,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,1.49,1.18
Japanese Plum,Golden Japan,,Spain,E,419.0,765.0,43.75,7397.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,0.37,0.62
Japanese Plum,Laetitia,,Spain,E,445.0,789.5,45.9,7957.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,0.6,1.0
Japanese Plum,Pioneer,,Spain,E,206.0,327.5,23.0,5990.5,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,-1.88,-0.34
Japanese Plum,Red Beauty,,Spain,E,317.0,594.0,35.8,6955.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,-0.49,0.31
Japanese Plum,Santa Rosa,,Spain,E,447.5,789.5,46.95,7845.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,0.71,0.92
