Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Japanese apricot,Yingsu,,China,E,,,59,1463,"Zhuang et al., 2016"
Japanese apricot,Yinnafenghou,,China,E,,,73,2054,"Zhuang et al., 2016"
Japanese apricot,Yueshijie,,China,E,,,62,1116,"Zhuang et al., 2016"
Japanese apricot,Yunnanxingmei,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Yuying,,China,E,,,62,1116,"Zhuang et al., 2016"
Japanese apricot,Zaohong,,China,E,,,50,1583,"Zhuang et al., 2016"
Japanese apricot,Zaohua,,China,E,,,56,1403,"Zhuang et al., 2016"
Japanese apricot,Zhizhimei,,China,E,,,69,1069,"Zhuang et al., 2016"
Japanese apricot,Zhonghong,,China,E,,,53,1542,"Zhuang et al., 2016"
Apricot,Abricot Pêche 1708 A.D.,,Spain,E,1060,,,,"Tabuenca, 1968"
Apricot,Alessandrino,,Italy,E,,1070,,3825,"Guerriero et al., 2006"
Apricot,Amabile Vecchioni,,Italy,E,,1140,,2950,"Guerriero et al., 2006"
Apricot,Amoscatelado,,Spain,E,759,,,,"Tabuenca, 1968"
Apricot,Asgarabad,,Iran,E,710,652,,3465,"Razavi et al., 2011"
Apricot,Aurora,,Italy,E,,1140,,2750,"Guerriero et al., 2006"
Apricot,Aurora,,Italy,E,1237,1296,,2651,"Valentini et al., 2006"
Apricot,Baracca,,Italy,E,,1070,,4680,"Guerriero et al., 2006"
Apricot,Bebeco,,Italy,E,,1078,,3775,"Guerriero et al., 2006"
Apricot,Bergeron,,Italy,E,,1225,,4300,"Guerriero et al., 2006"
Apricot,Bergeron,,Spain,E,699,1176,64.8,4526,"Ruiz et al., 2007"
Apricot,Bergeron,,Spain,E,762,1134,61.7,5150,"Campoy et al., 2012"
Apricot,Bergeron,,Serbia,E,,1173,,,"Ruml et al., 2018"
Apricot,Blanc Rose,,Spain,E,1145,,,,"Tabuenca, 1968"
Apricot,Búlida,,Spain,E,1050,,,,"Tabuenca, 1964"
Apricot,Búlida,,Spain,E,967,,,,"Tabuenca, 1968"
Apricot,Búlida,,Spain,E,996,,,,"Tabuenca, 1968"
Apricot,Búlida,,Spain,E,878,,,,"Tabuenca, 1968"
Apricot,Búlida,,Spain,E,1133,1296,,,"Tabuenca, 1979"
Apricot,Búlida,,Spain,E,560,968,53.8,5146,"Ruiz et al., 2007"
Apricot,Búlida,,Spain,E,708,1048,56.4,5294,"Campoy et al., 2012"
Apricot,Cafona,,Italy,E,,1200,,3433,"Garcia et al., 1997"
Apricot,Cafona,,Spain,E,,1170,,4150,"Garcia et al., 1997"
Apricot,Canino,,Spain,E,833,,,,"Tabuenca, 1968"
Apricot,Canino,,Spain,E,775,,,,"Tabuenca, 1968"
Apricot,Canino,,Italy,E,,1167,,2782,"Garcia et al., 1997"
Apricot,Canino,,Spain,E,,1038,,4638,"Garcia et al., 1997"
Apricot,Canino,,Italy,E,,1030,,3275,"Guerriero et al., 2006"
Apricot,Canino,,Spain,E,532,806,45,5724,"Campoy et al., 2012"
Apricot,Canino,,South Africa,E,488,304,29.8,,"Campoy et al., 2012"
Apricot,Cegledy arany,,Serbia,E,,1216,,,"Ruml et al., 2018"
Apricot,Charisma,,South Africa,E,188,290,31.7,,"Campoy et al., 2012"
Apricot,Comice de Toulon,,Spain,E,842,,,,"Tabuenca, 1968"
Apricot,Currot,,Spain,E,431,,,,"Tabuenca, 1968"
Apricot,Currot,,Spain,E,267,596,34.3,5879,"Ruiz et al., 2007"
Apricot,Currot,,Italy,E,,621,40.4,1847,"Viti et al., 2010"
Apricot,Currot,,Spain,E,,634,38.8,2641,"Viti et al., 2010"
Apricot,Currot,,Italy,E,,698,,,"Andreini et al., 2012"
Apricot,Currot,,Spain,E,409,642,37.8,5774,"Campoy et al., 2012"
Apricot,D'Alessandria,,Italy,E,,1070,,4150,"Guerriero et al., 2006"
Apricot,Doctor Mascle,,Spain,E,652,,,,"Tabuenca, 1968"
Apricot,Dorada,,Spain,E,594,1007,56.2,5079,"Ruiz et al., 2007"
Apricot,Dorada,,Spain,E,720,1069,57.7,6189,"Campoy et al., 2012"
Apricot,Early Blush,,Italy,E,1407,,,2969,"Valentini et al., 2004"
Apricot,Galta Rocha,,Spain,E,482,,,,"Tabuenca, 1968"
Apricot,Giletano,,Spain,E,789,,,,"Tabuenca, 1968"
Apricot,Goldrich,,Italy,E,,990,,3950,"Guerriero et al., 2006"
Apricot,Goldrich,,Italy,E,,1084,65.2,699,"Viti et al., 2010"
Apricot,Goldrich,,Spain,E,,992,58.6,2749,"Viti et al., 2010"
Apricot,Goldrich,,Serbia,E,,840,,,"Ruml et al., 2018"
Apricot,Harcot,,Italy,E,,1403,,2628,"Garcia et al., 1997"
Apricot,Harcot,,Spain,E,,1293,,4543,"Garcia et al., 1997"
Apricot,Hatif de Sig,,Spain,E,939,,,,"Tabuenca, 1968"
Apricot,Hoja de Parra,,Spain,E,728,,,,"Tabuenca, 1968"
Apricot,Koiska,,Spain,E,1050,,,,"Tabuenca, 1964"
Apricot,Laycot,,Italy,E,1214,,,3533,"Valentini et al., 2004"
Apricot,Laycot,,Italy,E,1045,1157,,3367,"Valentini et al., 2006"
Apricot,Luizet,,Spain,E,1150,,,,"Tabuenca, 1964"
Apricot,Luizet,,Spain,E,1107,,,,"Tabuenca, 1968"
Apricot,Luizet,,Spain,E,1087,,,,"Tabuenca, 1968"
Apricot,Magyar kajski,,Serbia,E,,1216,,,"Ruml et al., 2018"
Apricot,Moniqui,,Spain,E,850,,,,"Tabuenca, 1964"
Apricot,Moniqui,,Spain,E,853,,,,"Tabuenca, 1968"
Apricot,Moniqui,,Spain,E,954,1139,,,"Tabuenca, 1979"
Apricot,Moniqui,,Italy,E,,1035,,3250,"Guerriero et al., 2006"
Apricot,Moongold,,USA,E,,910,,2712,"Bailey et al., 1977"
Apricot,Moonpark,,Spain,E,1090,,,,"Tabuenca, 1968"
Apricot,Murciana,,Spain,E,585,1009,55.9,4440,"Ruiz et al., 2007"
Apricot,Murciana,,Spain,E,690,1030,55.6,5392,"Campoy et al., 2012"
Apricot,Ninfa,,Serbia,E,,840,,,"Ruml et al., 2018"
Apricot,Orangered,,Italy,E,1587,,,3448,"Valentini et al., 2004"
Apricot,Orangered,,Italy,E,,1525,,2700,"Guerriero et al., 2006"
Apricot,Orangered,,Italy,E,1481,1467,,2895,"Valentini et al., 2006"
Apricot,Orangered,,Spain,E,738,1266,69.1,4362,"Ruiz et al., 2007"
Apricot,Orangered,,Italy,E,,902,55.5,2910,"Viti et al., 2010"
Apricot,Orangered,,Spain,E,,1146,67.2,1474,"Viti et al., 2010"
Apricot,Orangered,,Spain,E,777,1172,64.3,4916,"Campoy et al., 2012"
Apricot,Orangered,,South Africa,E,568,957,55.4,,"Campoy et al., 2012"
Apricot,Palsteyn,,South Africa,E,171,274,31.6,,"Campoy et al., 2012"
Apricot,Palsteyn,,Spain,E,413,631,37.1,6247,"Campoy et al., 2012"
Apricot,Patriarca de Hueso Dulce,,Spain,E,697,,,,"Tabuenca, 1968"
Apricot,Paviot,,Spain,E,1050,,,,"Tabuenca, 1964"
Apricot,Paviot,,Spain,E,1035,,,,"Tabuenca, 1968"
Apricot,Paviot,,Spain,E,1148,1318,,,"Tabuenca, 1979"
Apricot,Perfection,,USA,E,,844,,2593,"Bailey et al., 1977"
Apricot,Perla,,Spain,E,1090,,,,"Tabuenca, 1968"
Apricot,Phelps,,USA,E,,857,,2206,"Bailey et al., 1977"
Apricot,Pike,,USA,E,,895,,2753,"Bailey et al., 1977"
Apricot,Pisana,,Serbia,E,,1118,,,"Ruml et al., 2018"
Apricot,Polonais,,Spain,E,1087,,,,"Tabuenca, 1968"
Apricot,Polonais,,Italy,E,,1313,,2717,"Garcia et al., 1997"
Apricot,Polonais,,Spain,E,,1293,,4900,"Garcia et al., 1997"
Apricot,Polonais,,Italy,E,,1300,,2850,"Guerriero et al., 2006"
Apricot,Precoz de Colomer,,Spain,E,950,,,,"Tabuenca, 1964"
Apricot,Precoz de Colomer,,Italy,E,,1213,,2533,"Garcia et al., 1997"
Apricot,Precoz de Colomer,,Spain,E,,940,,3812,"Garcia et al., 1997"
Apricot,Priana,,Spain,E,,926,,2189,"Garcia et al., 1997"
Apricot,Rapareddu,,Italy,E,,1250,,2850,"Guerriero et al., 2006"
Apricot,Re Umberto,,Serbia,E,,1284,,,"Ruml et al., 2018"
Apricot,Rojo Pasión,,Spain,E,531,917,51.2,4670,"Ruiz et al., 2007"
Apricot,Rojo Pasión,,Spain,E,566,874,48.2,6078,"Campoy et al., 2012"
Apricot,Rouge de Rousillon,,Spain,E,978,,,,"Tabuenca, 1968"
Apricot,Royal,,USA,E,875,,,,"Brown and Kotob, 1957"
Apricot,Royal,,Spain,E,850,,,,"Tabuenca, 1964"
Apricot,Royal,,Spain,E,865,,,,"Tabuenca, 1968"
Apricot,San Castrese,,Italy,E,,1032,,2350,"Garcia et al., 1997"
Apricot,San Castrese,,Spain,E,,725,,4134,"Garcia et al., 1997"
Apricot,San Castrese,,Italy,E,1044,,,3558,"Valentini et al., 2004"
Apricot,San Castrese,,Italy,E,,900,,3425,"Guerriero et al., 2006"
Apricot,San Castrese,,Italy,E,788,894,,3290,"Valentini et al., 2006"
Apricot,San Castrese,,Italy,E,,880,54,2471,"Viti et al., 2010"
Apricot,San Castrese,,Spain,E,,981,56.5,2542,"Viti et al., 2010"
Apricot,S. Nicola Grosso,,Italy,E,,1140,,3350,"Guerriero et al., 2006"
Apricot,Sarritzu I,,Italy,E,,1045,,3950,"Guerriero et al., 2006"
Apricot,Selene,,Spain,E,590,1018,57.4,4078,"Ruiz et al., 2007"
Apricot,Selene,,Spain,E,705,1057,56.9,4605,"Campoy et al., 2012"
Apricot,Shakarpare,,Iran,E,862,746,,3171,"Razavi et al., 2011"
Apricot,Shamlo,,Iran,E,1130,826,,2987,"Razavi et al., 2011"
Apricot,Stark Early Orange,,Italy,E,,1411,78.9,,"Viti et al., 2010"
Apricot,Sundrop,,Serbia,E,,966,,,"Ruml et al., 2018"
Apricot,Sylred,,Serbia,E,,993,,,"Ruml et al., 2018"
Apricot,Tabarze ghermez,,Iran,E,1130,826,,2987,"Razavi et al., 2011"
Apricot,Tilton,,USA,E,1000,,,,"Brown and Kotob, 1957"
Apricot,Tirynthos,,Italy,E,,968,,2594,"Garcia et al., 1997"
Apricot,Tom Cot,,Serbia,E,,840,,,"Ruml et al., 2018"
Apricot,Tonda di Costiglione,,Italy,E,1812,,,3643,"Valentini et al., 2004"
Apricot,Tonda di Costiglione,,Italy,E,1586,1561,,3549,"Valentini et al., 2006"
Almond,A-258,,Spain,S,,,17,8725,"Díez-Palet et al., 2019"
Almond,Abiodh de Sfax,,Tunisia,S,12,-284,4.6,6206,"Benmoussa et al., 2017"
Almond,Abiodh Ras Djebel,,Tunisia,S,59,-53,15.5,7324,"Benmoussa et al., 2017"
Almond,Achaak,,Spain,E,,266,,6444,"Egea et al., 2003"
Almond,Achaak,,Tunisia,S,8,-297,3.4,8703,"Benmoussa et al., 2017"
Almond,Aï,,Spain,S,,444,,8051,"Alonso et al., 2005"
Almond,Aï,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Alicante,,Spain,S,,,21.7,6940,"Díez-Palet et al., 2019"
Almond,Alzina,,Spain,S,,463,,6757,"Alonso et al., 2005"
Almond,Alzina,,Spain,S,408,,,,"Tabuenca et al., 1972"
Almond,Amargo,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Andreu,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Antoñeta,,Spain,E,,514,,7512,"Egea et al., 2003"
Almond,Ardechoise,,Spain,S,,,21.8,6994,"Díez-Palet et al., 2019"
Almond,Avola,,Tunisia,S,50,46,13.6,6673,"Benmoussa et al., 2017"
Almond,Aylés,,Spain,S,,481,,7909,"Alonso et al., 2005"
Almond,Bertina,,Spain,S,,463,,8536,"Alonso et al., 2005"
Almond,Blanquerna,,Spain,S,,463,,6906,"Alonso et al., 2005"
Almond,Bonifacio,,Tunisia,S,61,101,15.8,7559,"Benmoussa et al., 2017"
Almond,Bruantine,,Tunisia,S,34,-219,10.4,8548,"Benmoussa et al., 2017"
Almond,Cambra,,Spain,S,,463,,7697,"Alonso et al., 2005"
Almond,Cavaliera,,Tunisia,S,34,-219,10.4,7042,"Benmoussa et al., 2017"
Almond,Cavaliera,,Spain,S,,,11.6,7452,"Díez-Palet et al., 2019"
Almond,Chellastone,,Spain,S,,463,,6168,"Alonso et al., 2005"
Almond,Chine,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Constantini,,Spain,S,,444,,5345,"Alonso et al., 2005"
Almond,Cristomorto,,Tunisia,S,83,-29,22.6,5872,"Benmoussa et al., 2017"
Almond,Cristomorto,,Spain,S,,428,,8027,"Alonso et al., 2005"
Almond,Cristomorto,,Spain,S,,,20.7,8236,"Díez-Palet et al., 2019"
Almond,Desmayo,,Spain,E,,309,,5942,"Egea et al., 2003"
Almond,Desmayo,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Desmayo Largueta,,Spain,S,,428,,5458,"Alonso et al., 2005"
Almond,Desmayo Largueta,,Spain,S,,,8.4,8552,"Díez-Palet et al., 2019"
Almond,Desmayo Rojo,,Spain,S,,463,,6418,"Alonso et al., 2005"
Almond,Desmayo Rojo,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Dorée,,Tunisia,S,46,-174,12.7,8867,"Benmoussa et al., 2017"
Almond,Drake,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Durán,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Faggoussi,,Tunisia,S,54,-148,14.5,3962,"Benmoussa et al., 2017"
Almond,Fakhfekh,,Tunisia,S,33,-219,10.4,5979,"Benmoussa et al., 2017"
Almond,Fasciuneddu,,Tunisia,S,34,-219,10.4,7027,"Benmoussa et al., 2017"
Almond,Felisia,,Spain,S,,428,,9352,"Alonso et al., 2005"
Almond,Ferraduel,,Tunisia,S,54,59,14.4,9272,"Benmoussa et al., 2017"
Almond,Ferraduel,,Spain,S,,,52.9,7285,"Díez-Palet et al., 2019"
Almond,Ferragnès,,Spain,E,,558,,7309,"Egea et al., 2003"
Almond,Ferragnès,,Tunisia,S,54,59,14.4,9215,"Benmoussa et al., 2017"
Almond,Ferragnès,,Spain,S,,444,,8051,"Alonso et al., 2005"
Almond,Ferragnès,,Spain,S,,,20.7,8696,"Díez-Palet et al., 2019"
Almond,Filippo Ceo,,Spain,S,,463,,7558,"Alonso et al., 2005"
Almond,Filippo Ceo,,Spain,S,483,,,,"Tabuenca et al., 1972"
Almond,Fourcouronne,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Fournat de Brézenaud,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Fournat de Brézenaud,,Spain,S,,416,,7367,"Alonso et al., 2005"
Almond,Fournat de Brézenaud,,Tunisia,S,79,-50,21.1,5368,"Benmoussa et al., 2017"
Almond,Gabaix,,Spain,S,,,13.4,6824,"Díez-Palet et al., 2019"
Almond,Garbí,,Spain,S,,,52.9,7040,"Díez-Palet et al., 2019"
Almond,Garnghzel,,Tunisia,S,12,-284,4.6,8703,"Benmoussa et al., 2017"
Almond,Garrigues,,Spain,S,,,22,8054,"Díez-Palet et al., 2019"
Almond,Genco Taronto,,Tunisia,S,80,194,21.4,6148,"Benmoussa et al., 2017"
Almond,Genco Taronto,,Spain,S,,,28.7,5971,"Díez-Palet et al., 2019"
Almond,Glorieta,,Spain,S,,,51.6,5654,"Díez-Palet et al., 2019"
Almond,Guara,,Spain,S,,463,,7978,"Alonso et al., 2005"
Almond,Jordi,,Spain,S,,428,,6488,"Alonso et al., 2005"
Almond,Jordi,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Khoukhi,,Tunisia,S,31,-227,9.9,8873,"Benmoussa et al., 2017"
Almond,Ksontini,,Tunisia,S,21,-258,7.3,7071,"Benmoussa et al., 2017"
Almond,Languedoc,,Tunisia,S,23,-174,7.7,9097,"Benmoussa et al., 2017"
Almond,Lauranne,,Spain,S,,428,,8569,"Alonso et al., 2005"
Almond,LeGrand,,Spain,S,,428,,8027,"Alonso et al., 2005"
Almond,Malagueña,,Tunisia,S,23,-82,7.6,9224,"Benmoussa et al., 2017"
Almond,Marcona,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Marcona,,Spain,E,,435,,6681,"Egea et al., 2003"
Almond,Marcona,,Spain,S,,428,,6603,"Alonso et al., 2005"
Almond,Marcona,,Spain,S,,,22,6378,"Díez-Palet et al., 2019"
Almond,Marta,,Spain,E,,478,,7577,"Egea et al., 2003"
Almond,Masbovera,,Spain,S,,463,,7841,"Alonso et al., 2005"
Almond,Masbovera,,Spain,S,,,28.6,6232,"Díez-Palet et al., 2019"
Almond,Mazzetto,,Tunisia,S,54,-68,14.5,9507,"Benmoussa et al., 2017"
Almond,Miagkoskorlupij,,Spain,S,,463,,7439,"Alonso et al., 2005"
Almond,Miagkoskorlupij,,Spain,S,631,,,,"Tabuenca et al., 1972"
Almond,Mollar de Tarragona,,Spain,S,,,20,6718,"Díez-Palet et al., 2019"
Almond,Moncayo,,Spain,S,,463,,8696,"Alonso et al., 2005"
Almond,Montrone,,Tunisia,S,31,-227,9.9,9694,"Benmoussa et al., 2017"
Almond,Morskoi,,Spain,S,233,,,,"Tabuenca et al., 1972"
Almond,Ne Plus Ultra,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Ne Plus Ultra,,Tunisia,S,50,11,13.6,6847,"Benmoussa et al., 2017"
Almond,Ne Plus Ultra,,Spain,S,,463,,6635,"Alonso et al., 2005"
Almond,Nonpareil,,Tunisia,S,83,-29,22.6,6045,"Benmoussa et al., 2017"
Almond,Nonpareil,,Spain,S,,403,,7758,"Alonso et al., 2005"
Almond,Nonpareil,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Nonpareil,,Spain,S,,,21.7,7062,"Díez-Palet et al., 2019"
Almond,Picantilli,,Spain,S,,428,,7386,"Alonso et al., 2005"
Almond,Picantilli,,Spain,S,561,,,,"Tabuenca et al., 1972"
Almond,Pizzuta,,Tunisia,S,83,-29,22.6,2894,"Benmoussa et al., 2017"
Almond,Ponç,,Spain,S,,428,,6210,"Alonso et al., 2005"
Almond,Ponç,,Spain,S,101,,,,"Tabuenca et al., 1972"
Almond,Poleta,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Pou de Felanitz,,Spain,S,,392,,5419,"Alonso et al., 2005"
Almond,Pou de Felanitz,,Spain,S,101,,,,"Tabuenca et al., 1972"
Almond,Princesa,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Primorskij,,Spain,S,,428,,8434,"Alonso et al., 2005"
Almond,Primorskij,,Spain,S,,,52.85,10201,"Díez-Palet et al., 2019"
Almond,R1000,,Spain,E,,996,,7438,"Egea et al., 2003"
Almond,Rachele,,Spain,S,233,,,,"Tabuenca et al., 1972"
Almond,Rachele,,Spain,S,,376,,8302,"Alonso et al., 2005"
Almond,Rachele,,Tunisia,S,47,-167,13.3,6374,"Benmoussa et al., 2017"
Almond,Ramillete,,Spain,S,,444,,5947,"Alonso et al., 2005"
Almond,Ramillete,,Spain,E,,326,,6538,"Egea et al., 2003"
Almond,Ramillete,,Spain,S,,,20.7,6998,"Díez-Palet et al., 2019"
Almond,Ramlet R249,,Tunisia,S,33,18,10.3,6812,"Benmoussa et al., 2017"
Almond,Ramlet R250,,Tunisia,S,19,-266,6.7,6812,"Benmoussa et al., 2017"
Almond,Rana,,Spain,S,,,20,6518,"Díez-Palet et al., 2019"
Almond,Rof,,Spain,S,,463,,6418,"Alonso et al., 2005"
Almond,Rof,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Rof,,Spain,S,,,20.8,6965,"Díez-Palet et al., 2019"
Almond,Rotjet,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,S2332,,Spain,E,,417,,6481,"Egea et al., 2003"
Almond,S5133,,Spain,E,,973,,7003,"Egea et al., 2003"
Almond,Sicilia,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Soukaret,,Tunisia,S,77,-57,20.6,5960,"Benmoussa et al., 2017"
Almond,Tardive de la Verdière,,Spain,S,,358,,8814,"Alonso et al., 2005"
Almond,Tardy Nonpareil,,Spain,S,,,55.4,9444,"Díez-Palet et al., 2019"
Almond,Tarragona,,Tunisia,S,83,-29,22.6,5830,"Benmoussa et al., 2017"
Almond,Tarragones,,Spain,S,,,51.6,6370,"Díez-Palet et al., 2019"
Almond,Tamarite 2,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Texas,,Spain,S,,463,,7697,"Alonso et al., 2005"
Almond,Texas,,Spain,S,233,,,,"Tabuenca et al., 1972"
Almond,Texas,,Spain,S,,,51.6,6280,"Díez-Palet et al., 2019"
Almond,Thompson,,Spain,S,,463,,7697,"Alonso et al., 2005"
Almond,Titan,,Spain,S,,444,,8457,"Alonso et al., 2005"
Almond,Tokyo,,Spain,S,,463,,7558,"Alonso et al., 2005"
Almond,Totsol,,Spain,S,,428,,6943,"Alonso et al., 2005"
Almond,Totsol,,Spain,S,101,,,,"Tabuenca et al., 1972"
Almond,Tozeur 1,,Tunisia,S,12,-284,4.6,8124,"Benmoussa et al., 2017"
Almond,Tozeur 2,,Tunisia,S,33,-219,10.4,6309,"Benmoussa et al., 2017"
Almond,Tozeur 4,,Tunisia,S,12,-284,4.6,6698,"Benmoussa et al., 2017"
Almond,Trell,,Tunisia,S,77,-57,20.6,6003,"Benmoussa et al., 2017"
Almond,Trell,,Spain,S,233,,,,"Tabuenca et al., 1972"
Almond,Tuono Taronto,,Spain,S,,463,,7978,"Alonso et al., 2005"
Almond,Tuono Taronto,,Tunisia,S,50,46,13.6,6148,"Benmoussa et al., 2017"
Almond,Tuono Taronto,,Spain,S,,,52.9,6870,"Díez-Palet et al., 2019"
Almond,Verdereta,,Spain,S,,416,,6606,"Alonso et al., 2005"
Almond,Verdereta,,Spain,S,101,,,,"Tabuenca et al., 1972"
Almond,Verdiere,,Spain,S,169,,,,"Tabuenca et al., 1972"
Almond,Vinagrilla,,Spain,S,408,,,,"Tabuenca et al., 1972"
Almond,Vivot,,Spain,S,,428,,6603,"Alonso et al., 2005"
Almond,Vivot,,Spain,S,151,,,,"Tabuenca et al., 1972"
Almond,Xina,,Spain,S,,403,,5815,"Alonso et al., 2005"
Almond,Yaltano,,Spain,S,713,,,,"Tabuenca et al., 1972"
Almond,Yaltinskij,,Spain,S,,463,,8536,"Alonso et al., 2005"
Almond,Zahaf,,Tunisia,S,31,-227,9.9,6279,"Benmoussa et al., 2017"
Almond,Zahaf,,Spain,S,,392,,5611,"Alonso et al., 2005"
Almond,Lauranne,,Zaragoza,E,320,368,18.6,,"Delgado et al., 2025"
Almond,Lauranne,,Zaragoza,E,282,408,20.8,7171,"Delgado et al., 2025"
Almond,Lauranne,,Santomera,E,145,422,31.3,4660,"Delgado et al., 2025"
Almond,Lauranne,,Santomera,E,314,576,37,5751,"Delgado et al., 2025"
Almond,Lauranne,,Meknes,E,412,634,31.5,7055,"Delgado et al., 2025"
Almond,Lauranne,,Meknes,E,312,463,25.1,12093,"Delgado et al., 2025"
Almond,Marcona,,Zaragoza,E,276,277,14.6,5440,"Delgado et al., 2025"
Almond,Marcona,,Zaragoza,E,51,78,7,7164,"Delgado et al., 2025"
Almond,Marcona,,Santomera,E,22,221,19.1,7078,"Delgado et al., 2025"
Almond,Marcona,,Santomera,E,18,97,13,8397,"Delgado et al., 2025"
Almond,Marcona,,Meknes,E,51,149,8.1,8811,"Delgado et al., 2025"
Almond,Marcona,,Meknes,E,191,294,16,10967,"Delgado et al., 2025"
Almond,Soleta,,Zaragoza,E,266,262,14.6,,"Delgado et al., 2025"
Almond,Soleta,,Zaragoza,E,145,242,13.6,7113,"Delgado et al., 2025"
Almond,Soleta,,Santomera,E,145,422,31.3,5483,"Delgado et al., 2025"
Almond,Soleta,,Santomera,E,160,296,24.1,7088,"Delgado et al., 2025"
Almond,Soleta,,Meknes,E,252,469,24.4,7836,"Delgado et al., 2025"
Almond,Soleta,,Meknes,E,312,463,25.1,12660,"Delgado et al., 2025"
Apricot,Farbaly,,Jumilla,E,622,926,50.6,4873,"Delgado et al., 2025"
Apricot,Farbaly,,Jumilla,E,778,1016,59,4206,"Delgado et al., 2025"
Apricot,Farbaly,,Meknes,E,576,1006,49.5,8138,"Delgado et al., 2025"
Apricot,Farbaly,,Meknes,E,766,946,57.1,6165,"Delgado et al., 2025"
Apricot,Mediabel,,Jumilla,E,732,1053,58.3,3764,"Delgado et al., 2025"
Apricot,Mediabel,,Jumilla,E,719,937,55.5,4925,"Delgado et al., 2025"
Apricot,Mediabel,,Meknes,E,548,893,43,7110,"Delgado et al., 2025"
Apricot,Mediabel,,Meknes,E,667,849,47,7548,"Delgado et al., 2025"
Apricot,Soledane,,Cieza,E,544,869,50.3,4304,"Delgado et al., 2025"
Apricot,Soledane,,Cieza,E,580,869,48.2,7901,"Delgado et al., 2025"
Apricot,Soledane,,Ain Taoujdate,E,450,746,35.7,5027,"Delgado et al., 2025"
Apricot,Soledane,,Ain Taoujdate,E,511,681,37,8155,"Delgado et al., 2025"
Apricot,Soledane,,Meknes,E,443,716,37,5988,"Delgado et al., 2025"
Apricot,Soledane,,Meknes,E,511,681,37,7036,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Zaragoza,E,295,603,29.4,6646,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Zaragoza,E,384,612,32.4,8450,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Zaragoza,E,290,382,27.7,7096,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Guadajira,E,471,684,43.2,7644,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Guadajira,E,286,505,30.7,7800,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Cieza,E,643,763,40.3,4064,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Cieza,E,544,869,50.3,5711,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Cieza,E,574,833,47.2,5823,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Medjez El Bab,E,613,823,51,3276,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Medjez El Bab,E,435,371,34,7683,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Meknes,E,483,829,43,4353,"Delgado et al., 2025"
Japanese Plum,Angeleno,,Meknes,E,535,727,39.9,9626,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Zaragoza,E,448,795,39,5715,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Zaragoza,E,378,600,31.3,7067,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Zaragoza,E,509,695,41.5,5683,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Guadajira,E,469,671,42.2,7590,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Guadajira,E,614,707,42.6,7466,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Cieza,E,648,1003,57.5,3825,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Cieza,E,574,833,47.2,4504,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Cieza,E,643,767,45.7,4924,"Delgado et al., 2025"
Japanese Plum,Black Amber,,Meknes,E,422,615,33.1,9945,"Delgado et al., 2025"
Japanese Plum,Black Gold,,Caspe,E,338,369,21.1,7140,"Delgado et al., 2025"
Japanese Plum,Black Gold,,Caspe,E,165,383,20.5,7282,"Delgado et al., 2025"
Japanese Plum,Black Gold,,Caspe,E,539,826,40.2,4503,"Delgado et al., 2025"
