Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Apple,Golden Reinders,Dessert,Spain,S,,,68.4,10273,"Funes et al., 2016"
Apple,Golden Reinders,Dessert,Spain,S,,,42.4,9239,"Díez-Palet et al., 2019"
Apple,Golden Smoothee,Dessert,Spain,S,,,65,10145,"Funes et al., 2016"
Apple,Golden Smoothee,Dessert,Spain,S,,,42.8,9690,"Díez-Palet et al., 2019"
Apple,Governor Carr,Unknown,USA,E,901,,,,
Apple,Granny Smith,Dessert,Spain,S,,,63.9,8930,"Funes et al., 2016"
Apple,Granny Smith,Dessert,Spain,S,,,45.6,8813,"Díez-Palet et al., 2019"
Apple,Granny Smith,Dessert,Australia,E,852,1239,72.2,,"Parkes et al., 2020"
Apple,Granny Smith,Dessert,Spain,E,614,1006,59.3,13174,"Delgado et al., 2021a"
Apple,Granny Smith,Dessert,Uruguay,E,583,388,,,
Apple,Granny Smith,Dessert,France,E,,,43.5,10891,"El Yaacoubi et al., 2016"
Apple,Granny Smith,Dessert,USA,E,1049,,,,"Hauagge and Cummins, 1991"
Apple,Gravenstein,Dessert,USA,E,1118,,,,"Hauagge and Cummins, 1991"
Apple,Hana,Dessert,Italy,E,847,,43,,"Finetto, 2013"
Apple,Hi Early,Dessert,Australia,E,908,1307,77,,"Parkes et al., 2020"
Apple,Honeygold,Dessert,USA,E,1018,,,,"Hauagge and Cummins, 1991"
Apple,Hume,Dessert,USA,E,1035,,,,"Hauagge and Cummins, 1991"
Apple,Hyslop,Dessert,USA,E,1020,,,,"Hauagge and Cummins, 1991"
Apple,Idared,Dessert,USA,E,1017,,,,"Hauagge and Cummins, 1991"
Apple,Ikorocavka Alaja,Dessert,USA,E,1019,,,,"Hauagge and Cummins, 1991"
Apple,Jeromine,Dessert,Spain,S,,,43,8349,"Díez-Palet et al., 2019"
Apple,Jerseymac,Dessert,USA,E,1120,,,,"Hauagge and Cummins, 1991"
Apple,Joan,Unknown,USA,E,1001,,,,
Apple,Jonagold,Dessert,Belgium,S,,,60.7,4644,"Drepper et al., 2020"
